EXIT STA.,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CIVC,COLM,COLS,OAC,CONC,CVLY,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MACR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,,
12TH,0.00,9.90,0.40,10.70,3.60,13.50,11.00,8.70,16.90,5.50,8.70,20.80,14.00,15.30,4.80,9.90,24.00,7.40,23.90,3.40,12.40,13.90,11.60,0.70,1.90,24.31,7.80,5.90,23.00,7.80,16.80,27.90,8.10,8.20,12.20,3.40,8.50,21.21,23.41,16.90,18.81,20.60,15.10,22.40,1.60,,
16TH,9.90,0.00,10.20,0.90,13.50,3.70,20.40,1.10,7.10,14.90,18.10,30.70,23.40,5.50,14.70,19.80,33.40,2.50,33.20,12.80,2.50,23.30,21.40,10.00,11.70,14.51,2.10,15.70,32.90,17.70,26.60,37.80,17.90,1.60,22.10,13.30,17.90,11.41,13.61,26.20,9.01,30.00,24.90,31.80,8.30,,
19TH,0.40,10.20,0.00,11.10,3.30,13.90,11.40,9.10,17.30,5.90,9.10,20.50,14.40,15.70,4.50,9.60,24.40,7.70,24.20,3.80,12.70,14.30,11.20,1.00,1.50,24.71,8.10,5.50,22.70,7.50,16.40,27.60,7.70,8.60,11.90,3.10,8.80,21.61,23.81,17.20,19.21,21.00,14.70,22.80,1.90,,
24TH,10.70,0.90,11.10,0.00,14.30,2.80,21.30,2.00,6.20,15.80,19.00,31.60,24.30,4.60,15.50,20.60,34.30,3.30,34.10,13.70,1.70,24.20,22.30,10.90,12.60,13.61,2.90,16.60,33.80,18.60,27.50,38.70,18.80,2.50,23.00,14.20,18.70,10.51,12.71,27.10,8.11,30.90,25.80,32.70,9.10,,
ASHB,3.60,13.50,3.30,14.30,0.00,17.20,14.70,12.40,20.50,9.10,12.30,20.70,17.70,18.90,1.20,6.30,27.70,11.00,27.50,7.00,16.00,17.50,11.50,4.30,1.70,27.91,11.40,2.30,22.90,7.70,16.60,27.80,4.50,11.90,8.60,3.30,12.10,24.81,27.01,20.50,22.41,24.30,14.90,26.10,5.20,,
BALB,13.50,3.70,13.90,2.80,17.20,0.00,24.10,4.80,3.40,18.60,21.80,34.40,27.10,1.80,18.40,23.40,37.10,6.20,36.90,16.50,1.20,27.00,25.10,13.70,15.40,10.81,5.80,19.40,36.60,21.40,30.30,41.50,21.60,5.30,25.80,17.00,21.60,7.71,9.91,29.90,5.31,33.70,28.60,35.50,12.00,,
BAYF,11.00,20.40,11.40,21.30,14.70,24.10,0.00,19.30,27.50,5.50,8.70,31.90,3.00,25.90,15.90,20.90,13.00,18.00,12.80,7.60,23.00,2.90,22.60,10.40,12.90,34.91,18.40,16.90,34.10,18.90,27.80,39.00,19.10,18.80,23.30,14.50,2.60,31.81,34.01,5.80,29.41,9.60,26.10,11.40,12.20,,
CIVC,8.70,1.10,9.10,2.00,12.40,4.80,19.30,0.00,8.20,13.80,17.00,29.60,22.30,6.60,13.60,18.60,32.30,1.40,32.10,11.70,3.70,22.20,20.30,8.90,10.60,15.61,1.00,14.60,31.80,16.60,25.50,36.70,16.80,0.50,21.00,12.20,16.80,12.51,14.71,25.10,10.11,28.90,23.80,30.70,7.20,,
COLM,16.90,7.10,17.30,6.20,20.50,3.40,27.50,8.20,0.00,22.00,25.20,37.80,30.50,1.60,21.70,26.80,40.50,9.50,40.30,19.90,4.50,30.40,28.50,17.10,18.80,7.41,9.10,22.80,40.00,24.80,33.70,44.90,25.00,8.70,29.20,20.40,24.90,4.31,6.51,33.30,1.91,37.10,32.00,38.90,15.30,,
COLS,5.50,14.90,5.90,15.80,9.10,18.60,5.50,13.80,22.00,0.00,3.20,26.40,8.50,20.40,10.30,15.40,18.50,12.40,18.30,2.10,17.40,8.40,17.10,4.90,7.40,29.41,12.80,11.40,28.60,13.40,22.30,33.50,13.60,13.30,17.80,9.00,3.00,26.31,28.51,11.30,23.91,15.10,20.60,16.90,6.60,,
OAC,8.70,18.10,9.10,19.00,12.30,21.80,8.70,17.00,25.20,3.20,0.00,29.60,11.70,23.60,13.50,18.60,21.70,15.60,21.50,5.30,20.60,11.60,20.30,8.10,10.60,32.61,16.00,14.60,31.80,16.60,25.50,36.70,16.80,16.50,21.00,12.20,6.20,29.51,31.71,14.50,27.11,18.30,23.80,20.10,9.80,,
CONC,20.80,30.70,20.50,31.60,20.70,34.40,31.90,29.60,37.80,26.40,29.60,0.00,34.90,36.20,21.90,27.00,44.90,28.20,44.70,24.30,33.30,34.70,9.30,21.50,19.00,45.21,28.60,23.00,2.20,13.00,4.10,7.10,25.20,29.10,29.30,17.40,29.30,42.11,44.31,37.70,39.71,41.50,5.80,43.30,22.40,,
CVLY,14.00,23.40,14.40,24.30,17.70,27.10,3.00,22.30,30.50,8.50,11.70,34.90,0.00,28.90,18.90,23.90,10.00,21.00,15.80,10.60,26.00,5.90,25.60,13.40,15.90,37.91,21.40,19.90,37.10,21.90,30.80,42.00,22.10,21.80,26.30,17.50,5.60,34.81,37.01,8.80,32.41,12.60,29.10,8.40,15.20,,
DALY,15.30,5.50,15.70,4.60,18.90,1.80,25.90,6.60,1.60,20.40,23.60,36.20,28.90,0.00,20.10,25.20,38.90,7.90,38.70,18.30,2.90,28.80,26.90,15.50,17.20,9.01,7.50,21.20,38.40,23.20,32.10,43.30,23.40,7.10,27.60,18.80,23.30,5.91,8.11,31.70,3.51,35.50,30.40,37.30,13.70,,
DBRK,4.80,14.70,4.50,15.50,1.20,18.40,15.90,13.60,21.70,10.30,13.50,21.90,18.90,20.10,0.00,5.10,28.90,12.20,28.70,8.20,17.20,18.70,12.70,5.50,2.90,29.11,12.60,1.10,24.10,8.90,17.80,29.00,3.30,13.10,7.40,4.50,13.30,26.01,28.21,21.70,23.61,25.50,16.10,27.30,6.40,,
DELN,9.90,19.80,9.60,20.60,6.30,23.40,20.90,18.60,26.80,15.40,18.60,27.00,23.90,25.20,5.10,0.00,33.90,17.30,33.80,13.30,22.30,23.80,17.80,10.60,8.00,34.21,17.70,4.00,29.20,14.00,22.90,34.10,1.80,18.10,2.30,9.60,18.40,31.11,33.31,26.80,28.71,30.50,21.20,32.30,11.50,,
DUBL,24.00,33.40,24.40,34.30,27.70,37.10,13.00,32.30,40.50,18.50,21.70,44.90,10.00,38.90,28.90,33.90,0.00,31.00,25.80,20.60,36.00,15.90,35.60,23.40,25.90,47.91,31.40,29.90,47.10,31.90,40.80,52.00,32.10,31.80,36.30,27.50,15.60,44.81,47.01,18.80,42.41,22.60,39.10,1.60,25.20,,
